uri,om_tieneEnlaceSIG,schema_url,om_categoriaAlojamiento,schema_email,geo_lat,geo_long,schema_telephone,om_situadoEnVia,rdfs_label,schema_address_postalCode,schema_address_addressCountry,schema_address_addressLocality,schema_address_streetAddress
http://opendata.caceres.es/recurso/turismo/alojamiento/Apartamento/10-encanto,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10745,http://www.alojamientoencanto.com,2,info@alojamientoencanto.com,39.476186674,-6.37044031489,600 849 844,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-333,Apartamento Encanto,10003,ES,Cáceres,C/ Muñoz Chaves 3
http://opendata.caceres.es/recurso/turismo/alojamiento/Apartamento/11-montesol,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10746,http://www.apartamentoturisticomontesol.com,1,info@apartamentoturisticomontesol.com,39.4888883962,-6.37129458045,927 342 275 / 699 791 365,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3933,Apartamento Montesol,10004,ES,Cáceres,"Calle de los Riberos, 20"
http://opendata.caceres.es/recurso/turismo/alojamiento/Apartamento/7-puerta-de-merida,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=26,http://www.apartamentocaceres.es,4,elenagil@gmail.com,39.472069625,-6.37178455008,619 916 197,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-2552,Apartamento Puerta de Mérida,10003,ES,Cáceres,Plaza de santa Clara
http://opendata.caceres.es/recurso/turismo/alojamiento/Apartamento/8-la-ribera-del-marco,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10744,http://www.apartamentolariberadelmarco.com,2,info@apartamentolariberadelmarco.com,39.4609136173,-6.36800962225,927 216 983 / 651 628 516 / 615 316 009,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-1962,Apartamento La Ribera del Marco,10002,ES,Cáceres,"C/ La Roche Sur Yon,25"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hostal/16-al-qazeres,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=18,http://www.alqazeres.com/index.asp,1,informacion@alqazeres.com,39.4712432147,-6.37373196568,927 227 000 / 927 626 959,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-611,Hostal Al-Qazeres,10003,ES,Cáceres,"C/ Camino Llano, 34"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hostal/19-alameda-plaza-mayor,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2057,http://www.alamedaplazamayor.com/,2,reservas@alamedaplazamayor.com,39.4749331016,-6.37213277722,927 211 262,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-215,Hostal Alameda Plaza Mayor,10003,ES,Cáceres,"Plaza Mayor, 33"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hostal/21-alameda-palacete,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2113,http://www.alamedapalacete.com/,2,reservas@alamedapalacete.com,39.477543309,-6.37323955458,927 211 674 / 627 474 404,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-213,Hostal Alameda Palacete,10003,ES,Cáceres,"C/ Margallo, 45"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hostal/22-neptuno,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10743,http://hostalneptuno.com/,2,alexcampos@neptuno.com,39.4656659986,-6.38071526873,927 236 423,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1219,Hostal Neptuno,10005,ES,Cáceres,"Avda. de Alemania 19, bajo"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hostal/23-goya,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10,http://www.alextur.net/hostal/goya.html,2,hotelgoya@inicia.es,39.4750871624,-6.37197089761,927 249 950,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-215,Hostal Goya,10003,ES,Cáceres,Plaza Mayor 31 
http://opendata.caceres.es/recurso/turismo/alojamiento/Hostal/24-plaza-italia,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=7,http://www.hostalplazadeitalia.com,2,hostalplazadeitalia@hotmail.com,39.4764182045,-6.37583899268,927 627 294 / 660 045 581,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-142,Hostal Plaza Italia,10004,ES,Cáceres,"C/ Constancia,12"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/25-don-carlos,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=16,http://www.hoteldoncarloscaceres.com/,2,hotel@hoteldoncarloscaceres.net,39.4729228618,-6.37406591184,927 225 527,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-168,Hotel Don Carlos,10003,ES,Cáceres,"C/ Donoso Cortés, 15"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/27-iberia-plaza-mayor,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=11,http://www.hotelplazamayor.iberiahotel.com/,1,iberia@iberiahotel.com,39.4746541734,-6.37250000334,927 247 634,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-1205,Hotel Iberia Plaza Mayor,10003,ES,Cáceres,"C/ Pintores, 2"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/28-alfonso-ix,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=12,http://www.hotelalfonsoix.com/,2,info@hotelalfonsoix.com,39.4745079922,-6.37343254682,927 246 400,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-330,Hotel Alfonso IX,10003,ES,Cáceres,"C/ Moret, 20"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/31-ah-agora,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2088,http://www.hotelagoracaceres.com/,4,recepcioncaceres@ahhotels.com,39.474071486,-6.37398779592,927 626 360,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-368,Hotel Agora,10004,ES,Cáceres,"Calle Parras, 25"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/33-don-fernando,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2384,http://www.casadonfernando.com/,3,info@casadonfernando.com,39.4752700674,-6.3718138369,927 214 279 / 927 627 176,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-215,Hotel Don Fernando,10003,ES,Caceres,"Plaza Mayor, 30"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/34-alcantara,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=6,http://www.hotelalcantaracaceres.com/ES/hotel.html,3,reservas@hotelalcantaracaceres.com,39.4720462664,-6.38021877461,927 223 900,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-537,Hotel Alcantara,10001,ES,Cáceres,"Avda. Virgen de Guadalupe, 14"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/35-don-manuel,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2385,http://www.donmanuelatiramhotels.com,4,granhoteldonmanuel@atiramhotels.com,39.4767925931,-6.37188464168,927 242 524,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-441,Hotel Don Manuel,10003,ES,Caceres,C/ San Justo s/n
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/36-iberia-plaza-america,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=19,http://www.hotelplazaamerica.iberiahotel.com/,2,iberia@iberiahotel.com,39.4689690395,-6.38087575427,927 210 906,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-234,Hotel Iberia Plaza de America,10001,ES,Cáceres,"C/ Hermandad, 12"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/37-extremadura,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=3,http://www.extremadurahotel.com/,4, info@extremadurahotel.com,39.4695183934,-6.3846239817,927 629 639,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-537,Hotel Extremadura,10001,ES,Cáceres,"Avda. Virgen de Guadalupe, 28"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/38-barcelo-caceres-v-centenario,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=5,http://www.barcelocaceresvcentenario.com,4,caceresvcentenario@barcelo.com,39.4738788475,-6.39841889943,927 232 200,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3123,Hotel V Centenario,10005,ES,Cáceres,C/ Manuel Pacheco s/n
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/41-hotel-albarragena,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10779,http://www.albarragena.com/,3,reservas@albarragena.com,39.4717744733,-6.37297458337,927 220 657 / 927 225 644,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3120,Hotel Albarragena,10003,ES,Cáceres,"C/ Pizarro, 10"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/42-h2-caceres,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10778,http://www.hoteles2.com,2,caceres@hoteles2.com,39.4738923694,-6.37355126307,927 212 192 / 676 296 543,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-1205,Hotel Hoteles 2,10003,ES,Cáceres,"C/ Pintores, 28, 2º"
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/45-ahc-hoteles-low-cost,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2152,http://www.ahchoteles.com,3,direccion@ahchoteles.com,39.4796632599,-6.35519531045,927 628 223 / 679 565 210,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3425,Hotel AHC,10004,ES,Cáceres,Avda. Universidad s/n
http://opendata.caceres.es/recurso/turismo/alojamiento/Hotel/46-castilla,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=8,http://www.hotelcastillacaceres.com/,1,hotelcastilla@caceresjoven.com,39.4757651415,-6.37187881706,927 244 404,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-2075,Hotel Castilla,10003,ES,Cáceres,"C/ Rios Verdes, 3"
http://opendata.caceres.es/recurso/turismo/alojamiento/Parador/47-parador-de-caceres,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1,http://www.parador.es/es/parador-de-caceres,4,caceres@parador.es,39.4725498852,-6.37180559584,927 211 759,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-32,Parador Turismo,10003,ES,Cáceres,"C/ Ancha, 6"
http://opendata.caceres.es/recurso/turismo/alojamiento/Pension/48-carretero,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=9,http://www.pensioncarretero.com/,2,pens_carretero@yahoo.es,39.4756624217,-6.37114972612,927 247 482,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-215,Pensión Carretero,10003,ES,Cáceres,"Plaza Mayor, 22"
http://opendata.caceres.es/recurso/turismo/alojamiento/Apartamento/9-caceres-medieval,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=10748,,2,hector@caceresmedievalat.com,39.4739145936,-6.37121036768,640 377 394,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/cuesta-773,Apartamento Cáceres Medieval,10003,ES,Cáceres,"C/ Cuesta de Aldana, 8"
